,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,School
0,1,Jaren Lewis,34,34,31.1,5.2,11.2,0.466,4.8,10.0,0.482,0.4,1.2,0.333,2.9,4.0,0.733,2.3,3.9,6.1,2.7,1.6,0.6,1.8,1.9,13.8,Abilene Christian
1,2,Jalone Friday,23,23,21.8,4.9,10.4,0.473,3.7,7.0,0.519,1.3,3.3,0.377,2.0,2.6,0.78,1.1,3.6,4.7,1.0,0.7,1.0,2.0,3.1,13.1,Abilene Christian
2,3,Payten Ricks,34,33,32.3,3.7,8.7,0.421,1.3,2.7,0.478,2.4,6.0,0.395,1.9,2.2,0.842,0.2,2.6,2.8,1.9,1.7,0.0,1.4,2.2,11.6,Abilene Christian
3,4,Jaylen Franklin,34,33,32.1,3.9,7.2,0.535,3.6,6.6,0.542,0.3,0.6,0.45,2.2,3.7,0.591,0.4,3.3,3.7,4.9,1.8,0.2,2.1,2.6,10.2,Abilene Christian
4,5,B.J. Maxwell,24,18,26.8,3.3,6.7,0.491,1.9,3.2,0.584,1.4,3.5,0.405,1.2,1.4,0.853,1.5,3.2,4.7,1.7,1.1,0.4,0.8,2.7,9.2,Abilene Christian
5,6,Hayden Farquhar,34,6,14.1,2.5,4.9,0.5,1.5,2.4,0.625,1.0,2.6,0.386,0.6,1.0,0.647,1.0,1.5,2.6,0.8,0.6,0.2,0.7,2.1,6.6,Abilene Christian
6,7,Joe Pleasant,34,2,14.6,2.0,3.7,0.54,1.9,3.3,0.571,0.1,0.4,0.286,1.5,2.3,0.654,1.0,1.6,2.6,0.3,0.3,0.1,1.1,1.7,5.6,Abilene Christian
7,8,Damien Daniels,34,6,15.0,1.2,3.3,0.354,0.7,1.8,0.417,0.4,1.6,0.283,0.6,0.8,0.808,0.4,1.2,1.6,1.8,0.6,0.0,0.9,1.4,3.4,Abilene Christian
8,9,Trey Lenox,34,8,15.3,0.7,1.8,0.403,0.3,0.7,0.36,0.5,1.1,0.432,0.3,0.3,1.0,0.2,1.0,1.2,0.6,0.4,0.0,0.6,1.4,2.2,Abilene Christian
9,10,Clay Gayman,31,2,5.0,0.7,1.5,0.458,0.5,0.9,0.483,0.3,0.6,0.421,0.4,0.6,0.611,0.5,0.5,1.0,0.3,0.2,0.1,0.5,0.4,2.0,Abilene Christian
10,11,Kolton Kohl,31,5,4.6,0.6,1.3,0.462,0.6,1.3,0.462,0.0,0.0,,0.7,1.1,0.657,0.7,0.9,1.6,0.2,0.2,0.4,0.4,0.6,1.9,Abilene Christian
11,12,Tobias Cameron,23,0,3.7,0.3,0.7,0.412,0.2,0.3,0.667,0.1,0.5,0.273,0.1,0.1,0.667,0.3,0.5,0.8,0.2,0.1,0.0,0.3,0.3,0.8,Abilene Christian
12,13,Chase Cobb,18,0,2.4,0.3,0.4,0.625,0.1,0.1,1.0,0.2,0.3,0.5,0.1,0.2,0.5,0.1,0.2,0.2,0.0,0.1,0.0,0.2,0.2,0.8,Abilene Christian
13,14,Paul Hiepler,16,0,1.6,0.1,0.4,0.333,0.1,0.1,0.5,0.1,0.3,0.25,0.1,0.2,0.667,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.3,0.4,Abilene Christian
0,1,Luguentz Dort,34,33,31.5,5.1,12.6,0.405,3.5,7.5,0.472,1.6,5.2,0.307,4.3,6.1,0.7,1.3,3.0,4.3,2.3,1.5,0.2,2.9,3.0,16.1,Arizona State
1,2,Remy Martin,32,28,32.6,4.3,10.8,0.402,3.0,6.5,0.462,1.3,4.3,0.312,2.9,3.9,0.736,0.7,2.5,3.2,5.0,1.3,0.0,2.1,1.3,12.9,Arizona State
2,3,Zylan Cheatham,34,34,32.4,4.2,7.9,0.534,3.9,7.1,0.543,0.3,0.7,0.44,3.4,5.5,0.618,2.1,8.2,10.3,3.2,0.8,0.8,3.0,2.7,12.1,Arizona State
3,4,Rob Edwards,28,21,29.3,3.4,9.8,0.344,1.5,4.9,0.314,1.8,4.9,0.375,2.5,3.0,0.835,0.3,3.0,3.3,1.3,1.0,0.2,1.3,2.0,11.1,Arizona State
4,5,Romello White,34,32,25.0,3.3,5.6,0.598,3.3,5.6,0.598,0.0,0.0,,2.1,3.6,0.579,2.3,2.9,5.2,0.3,0.4,0.7,1.3,3.1,8.7,Arizona State
5,6,Kimani Lawrence,34,15,25.1,2.9,6.9,0.419,1.9,3.9,0.504,1.0,3.1,0.314,1.8,2.4,0.747,1.1,2.4,3.5,1.3,0.6,0.2,1.4,2.6,8.6,Arizona State
6,7,Taeshon Cherry,30,3,17.4,2.1,5.4,0.391,0.8,1.5,0.511,1.3,3.9,0.345,0.3,0.5,0.714,0.5,2.1,2.6,0.3,0.6,0.2,0.5,2.3,5.9,Arizona State
7,8,De'Quon Lake,33,4,13.1,1.8,2.3,0.766,1.8,2.3,0.766,0.0,0.0,,0.9,1.4,0.638,1.6,2.1,3.7,0.1,0.3,0.8,0.7,2.6,4.5,Arizona State
8,9,Mickey Mitchell,6,0,8.8,0.8,1.2,0.714,0.7,1.0,0.667,0.2,0.2,1.0,0.2,1.3,0.125,1.0,1.7,2.7,1.0,0.2,0.0,1.0,1.2,2.0,Arizona State
9,10,Kyle Feit,4,0,1.3,0.5,0.8,0.667,0.3,0.3,1.0,0.3,0.5,0.5,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.3,1.3,Arizona State
