,Player,Class,Pos,Weight,Height (in.),School
0,Jaren Lewis,SR,F,215.0,78,Abilene Christian
1,Payten Ricks,JR,G,190.0,74,Abilene Christian
2,Jaylen Franklin,SR,G,205.0,74,Abilene Christian
3,Jalone Friday,JR,C,235.0,81,Abilene Christian
4,Hayden Farquhar,SR,F,215.0,79,Abilene Christian
5,B.J. Maxwell,JR,G,200.0,76,Abilene Christian
6,Joe Pleasant,FR,F,220.0,80,Abilene Christian
7,Damien Daniels,FR,G,140.0,67,Abilene Christian
8,Trey Lenox,JR,G,220.0,75,Abilene Christian
9,Clay Gayman,FR,F,220.0,78,Abilene Christian
10,Kolton Kohl,SO,C,240.0,84,Abilene Christian
11,Tobias Cameron,FR,G,210.0,77,Abilene Christian
12,Chase Cobb,JR,G,190.0,73,Abilene Christian
13,Paul Hiepler,SO,G,190.0,76,Abilene Christian
0,Luguentz Dort,FR,G,215.0,76,Arizona State
1,Remy Martin,SO,G,175.0,72,Arizona State
2,Zylan Cheatham,SR,F,220.0,80,Arizona State
3,Rob Edwards,JR,G,205.0,77,Arizona State
4,Romello White,SO,F,235.0,80,Arizona State
5,Kimani Lawrence,SO,F,210.0,80,Arizona State
6,Taeshon Cherry,FR,F,220.0,80,Arizona State
7,De'Quon Lake,SR,F,225.0,82,Arizona State
8,Elias Valtonen,FR,G,195.0,79,Arizona State
9,Mickey Mitchell,JR,F,225.0,79,Arizona State
10,Vitaliy Shibel,JR,F,210.0,81,Arizona State
11,Kyle Feit,FR,G,215.0,76,Arizona State
12,Grant Fogerty,JR,G,175.0,72,Arizona State
13,Jordan Salzman,SO,G,175.0,70,Arizona State
14,Jack Roggin,SO,G,165.0,72,Arizona State
15,Trev Thompson,SO,G,175.0,74,Arizona State
0,Bryce Brown,SR,G,198.0,75,Auburn
1,Jared Harper,JR,G,175.0,71,Auburn
2,Chuma Okeke,SO,F,230.0,80,Auburn
3,Samir Doughty,JR,G,195.0,76,Auburn
4,Anfernee McLemore,JR,F,220.0,79,Auburn
5,Malik Dunbar,SR,G,230.0,78,Auburn
6,Austin Wiley,JR,C,260.0,83,Auburn
7,Horace Spencer,SR,F,225.0,80,Auburn
8,J'Von McCormick,JR,G,185.0,72,Auburn
9,Danjel Purifoy,JR,F,230.0,79,Auburn
10,Myles Parker,FR,F,210.0,79,Auburn
11,Will Macoy,JR,G,200.0,76,Auburn
12,Cole Blackstock,SR,F,260.0,81,Auburn
13,Preston Cook,FR,G,205.0,76,Auburn
14,Chase Maasdorp,FR,G,175.0,72,Auburn
15,Devontae Williams,JR,G,215.0,76,Auburn
16,Thomas Collier,JR,G,215.0,81,Auburn
0,Makai Mason,SR,G,185.0,73,Baylor
1,Jared Butler,FR,G,195.0,75,Baylor
2,Mario Kegler,SO,G,230.0,79,Baylor
3,Devonte Bandoo,JR,G,185.0,75,Baylor
4,King McClure,SR,G,215.0,75,Baylor
5,Mark Vital,SO,F,250.0,77,Baylor
6,Tristan Clark,SO,F,235.0,82,Baylor
7,Matthew Mayer,FR,G,225.0,81,Baylor
8,Freddie Gillespie,JR,F,245.0,81,Baylor
9,Flo Thamba,FR,F,245.0,82,Baylor
10,Darius Allen,JR,G,210.0,77,Baylor
11,Obim Okeke,JR,G,225.0,72,Baylor
0,Dylan Windler,SR,F,200.0,80,Belmont
1,Kevin McClain,SR,G,190.0,75,Belmont
2,Nick Muszynski,FR,C,235.0,83,Belmont
3,Grayson Murphy,FR,G,175.0,74,Belmont
4,Nick Hopkins,SO,G,174.0,72,Belmont
5,Caleb Hollander,FR,F,235.0,80,Belmont
6,Seth Adelsperger,JR,C,230.0,83,Belmont
7,Michael Benkert,JR,G,200.0,76,Belmont
8,Adam Kunkel,FR,G,176.0,76,Belmont
9,Derek Sabin,FR,F,230.0,81,Belmont
10,Tate Pierson,FR,G,210.0,78,Belmont
11,Garrett Suedekum,SO,G,170.0,74,Belmont
12,Michael Mayernick,FR,G,150.0,68,Belmont
0,Darrell Brown,JR,G,190.0,70,Bradley
1,Elijah Childs,SO,F,230.0,80,Bradley
2,Nate Kennell,JR,G,210.0,78,Bradley
3,Dwayne Lautier-Ogunleye,SR,G,210.0,76,Bradley
4,Koch Bar,JR,C,230.0,83,Bradley
5,Luuk van Bree,SR,F,225.0,81,Bradley
6,Ja'Shon Henry,FR,F,230.0,78,Bradley
7,Luqman Lundy,SR,G,200.0,75,Bradley
8,Antoine Pittman,JR,G,210.0,75,Bradley
9,Jayden Hodgson,JR,G,195.0,75,Bradley
10,Ari Boya,FR,C,245.0,85,Bradley
11,Armon Brummett,FR,G,205.0,76,Bradley
12,Peter Hanley,SR,F,220.0,79,Bradley
0,C.J. Massinburg,SR,G,194.0,75,Buffalo
1,Nick Perkins,SR,F,250.0,80,Buffalo
2,Jeremy Harris,SR,G,185.0,79,Buffalo
3,Jayvon Graves,SO,G,200.0,75,Buffalo
4,Dontay Caruthers,SR,G,191.0,73,Buffalo
5,Davonta Jordan,JR,G,190.0,74,Buffalo
6,Montell McRae,SR,F,198.0,82,Buffalo
7,Jeenathan Williams,FR,F,206.0,77,Buffalo
8,Ronaldo Segu,FR,G,160.0,72,Buffalo
9,Tra'Von Fagan,SO,F,208.0,80,Buffalo
10,Brock Bertram,SO,C,242.0,83,Buffalo
11,Dominic Johnson,SO,F,220.0,77,Buffalo
0,Jarron Cumberland,JR,G,210.0,77,Cincinnati
1,Keith Williams,SO,G,215.0,77,Cincinnati
2,Tre Scott,JR,F,225.0,80,Cincinnati
3,Justin Jenifer,SR,G,175.0,70,Cincinnati
4,Cane Broome,SR,G,165.0,72,Cincinnati
5,Nysier Brooks,JR,C,240.0,84,Cincinnati
6,Rashawn Fredericks,JR,G,200.0,77,Cincinnati
7,Trevor Moore,SO,G,195.0,77,Cincinnati
8,Logan Johnson,FR,G,170.0,74,Cincinnati
9,Mamoudou Diarra,FR,F,225.0,81,Cincinnati
10,Eliel Nsoseme,SO,F,225.0,80,Cincinnati
11,Sam Martin,SO,G,170.0,70,Cincinnati
12,John Koz,JR,G,200.0,73,Cincinnati
0,Rapolas Ivanauskas,SO,F,235.0,82,Colgate
