,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 24,ORtg,DRtg,School
0,Jalone Friday,23,23,502,13.4,28.3,0.473,10.0,19.2,0.519,3.4,9.1,0.377,5.5,7.0,0.78,12.7,2.6,1.9,2.6,5.5,8.4,35.7,,103.0,92.2,Abilene Christian
1,Hayden Farquhar,34,6,481,10.4,20.8,0.5,6.2,9.9,0.625,4.2,10.9,0.386,2.7,4.2,0.647,10.8,3.3,2.7,1.0,3.0,9.0,27.7,,118.8,94.4,Abilene Christian
2,Jaren Lewis,34,34,1056,10.0,21.5,0.466,9.2,19.2,0.482,0.8,2.4,0.333,5.6,7.6,0.733,11.7,5.2,3.0,1.2,3.4,3.7,26.4,,111.4,93.1,Abilene Christian
3,Kolton Kohl,31,5,142,7.5,16.3,0.462,7.5,16.3,0.462,0.0,0.0,,9.6,14.7,0.657,21.4,2.1,2.1,5.4,4.6,7.5,24.7,,110.3,87.3,Abilene Christian
4,Clay Gayman,31,2,155,8.4,18.4,0.458,5.4,11.1,0.483,3.1,7.3,0.421,4.2,6.9,0.611,11.5,3.1,2.7,1.2,6.5,5.0,24.2,,97.7,94.8,Abilene Christian
5,Joe Pleasant,34,2,498,8.1,15.1,0.54,7.6,13.4,0.571,0.5,1.7,0.286,6.1,9.3,0.654,10.6,1.2,1.2,0.6,4.4,6.8,22.8,,105.5,98.2,Abilene Christian
6,Payten Ricks,34,33,1098,6.8,16.1,0.421,2.4,5.0,0.478,4.4,11.1,0.395,3.5,4.1,0.842,5.1,3.5,3.1,0.1,2.5,4.1,21.4,,114.7,96.1,Abilene Christian
7,B.J. Maxwell,24,18,642,7.3,14.9,0.491,4.2,7.1,0.584,3.2,7.8,0.405,2.7,3.2,0.853,10.5,3.7,2.4,0.8,1.9,5.9,20.5,,128.1,95.0,Abilene Christian
8,Chase Cobb,18,0,44,6.8,10.8,0.625,2.7,2.7,1.0,4.1,8.1,0.5,2.7,5.4,0.5,5.4,0.0,2.7,0.0,4.1,5.4,20.3,,108.3,97.5,Abilene Christian
9,Jaylen Franklin,34,33,1092,7.1,13.3,0.535,6.6,12.3,0.542,0.5,1.1,0.45,4.1,6.9,0.591,6.9,9.0,3.3,0.4,3.8,4.8,18.9,,112.6,94.2,Abilene Christian
10,Paul Hiepler,16,0,26,4.6,13.7,0.333,2.3,4.6,0.5,2.3,9.2,0.25,4.6,6.9,0.667,6.9,2.3,2.3,0.0,2.3,9.2,16.0,,100.4,97.7,Abilene Christian
11,Tobias Cameron,23,0,84,5.0,12.0,0.412,2.8,4.2,0.667,2.1,7.8,0.273,1.4,2.1,0.667,12.7,3.5,1.4,0.0,5.7,5.0,13.5,,90.7,97.6,Abilene Christian
12,Damien Daniels,34,6,510,4.7,13.2,0.354,2.9,7.0,0.417,1.7,6.2,0.283,2.4,3.0,0.808,6.2,7.1,2.3,0.1,3.7,5.5,13.5,,97.1,97.6,Abilene Christian
13,Trey Lenox,34,8,520,2.9,7.1,0.403,1.0,2.9,0.36,1.8,4.2,0.432,1.1,1.1,1.0,4.7,2.5,1.6,0.1,2.2,5.4,8.7,,102.1,99.8,Abilene Christian
0,Kyle Feit,4,0,5,22.1,33.1,0.667,11.0,11.0,1.0,11.0,22.1,0.5,0.0,0.0,,22.1,0.0,0.0,0.0,11.0,11.0,55.1,,97.6,93.9,Arizona State
1,Luguentz Dort,34,33,1072,8.9,22.1,0.405,6.2,13.1,0.472,2.8,9.1,0.307,7.5,10.6,0.7,7.5,4.1,2.7,0.4,5.1,5.2,28.1,,101.6,101.0,Arizona State
2,Remy Martin,32,28,1043,7.3,18.3,0.402,5.1,11.0,0.462,2.3,7.3,0.312,4.9,6.6,0.736,5.3,8.5,2.1,0.1,3.5,2.3,21.8,,109.5,103.6,Arizona State
