,Unnamed: 0,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,School, School_eq
0,Team,34.0,40.3,26.4,56.2,.469,19.0,36.8,.516,7.4,19.4,.380,13.4,18.9,.712,9.6,23.1,32.6,15.4,8.7,2.7,12.0,18.7,73.6,Abilene Christian,Abilene Christian
0,Team,34.0,40.6,26.4,59.2,.447,19.4,38.2,.508,7.1,21.0,.336,17.6,25.9,.680,11.7,28.0,39.7,13.5,6.3,3.2,13.7,19.9,77.6,Arizona State,Arizona St.
0,Team,40.0,40.4,27.4,61.0,.450,16.1,30.9,.521,11.4,30.1,.377,13.5,19.0,.711,11.4,22.8,34.2,14.3,9.2,4.8,11.7,18.3,79.7,Auburn,Auburn
0,Team,34.0,40.1,25.6,57.8,.442,17.5,34.2,.512,8.1,23.6,.341,12.6,18.7,.677,13.2,24.4,37.7,13.9,6.1,4.7,13.1,18.7,71.8,Baylor,Baylor
0,Team,33.0,40.3,31.6,63.5,.498,21.2,35.5,.596,10.4,27.9,.372,13.4,18.1,.737,8.7,30.0,38.6,19.5,6.7,3.8,11.4,15.4,86.9,Belmont,Belmont
0,Team,35.0,40.1,23.2,53.5,.433,16.3,34.9,.468,6.9,18.7,.368,13.3,19.2,.692,8.9,25.2,34.1,12.1,5.3,3.8,12.6,17.6,66.5,Bradley,Bradley
0,Team,36.0,40.1,30.1,65.1,.462,20.5,36.7,.559,9.6,28.4,.337,14.6,21.3,.687,12.6,28.3,40.8,16.6,7.3,3.9,12.0,18.3,84.4,Buffalo,Buffalo
0,Team,35.0,40.3,24.9,57.7,.432,18.3,38.4,.476,6.6,19.2,.345,15.3,21.7,.704,12.6,23.5,36.1,13.3,6.1,4.4,10.4,16.1,71.7,Cincinnati,Cincinnati
0,Team,35.0,40.4,27.3,57.0,.479,18.1,33.7,.538,9.1,23.3,.393,11.9,16.1,.742,9.2,26.2,35.4,15.5,6.1,3.5,13.0,15.6,75.7,Colgate,Colgate
0,Team,38.0,40.1,30.4,63.6,.478,23.1,39.9,.580,7.3,23.8,.308,14.5,21.1,.686,13.0,28.2,41.2,15.9,9.1,6.8,12.8,15.7,82.7,Duke,Duke
0,Team,35.0,40.6,26.3,55.4,.475,18.6,36.2,.515,7.7,19.2,.400,14.5,20.1,.725,9.2,23.8,33.0,13.9,7.5,3.8,13.6,16.5,74.9,Fairleigh Dickinson,Fairleigh Dickinson
