,Unnamed: 0,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,School
0,Team,34.0,6850.0,897,1911,.469,646,1251,.516,251,660,.380,457,642,.712,325,785,1110,525,297,93,407,635,2502,Abilene Christian
0,Team,34.0,6900.0,899,2012,.447,659,1298,.508,240,714,.336,600,882,.680,399,952,1351,459,213,109,466,675,2638,Arizona State
0,Team,40.0,8075.0,1097,2439,.450,643,1235,.521,454,1204,.377,540,760,.711,457,912,1369,572,369,190,466,731,3188,Auburn
0,Team,34.0,6825.0,869,1966,.442,595,1163,.512,274,803,.341,430,635,.677,450,831,1281,473,209,159,446,636,2442,Baylor
0,Team,33.0,6650.0,1042,2094,.498,699,1172,.596,343,922,.372,441,598,.737,286,989,1275,645,220,125,376,509,2868,Belmont
0,Team,35.0,7025.0,812,1874,.433,572,1221,.468,240,653,.368,465,672,.692,313,882,1195,423,186,132,440,617,2329,Bradley
0,Team,36.0,7225.0,1083,2344,.462,739,1322,.559,344,1022,.337,527,767,.687,452,1018,1470,599,263,140,433,659,3037,Buffalo
0,Team,35.0,7050.0,872,2018,.432,640,1345,.476,232,673,.345,534,758,.704,442,822,1264,466,214,155,365,563,2510,Cincinnati
0,Team,35.0,7075.0,955,1995,.479,635,1180,.538,320,815,.393,418,563,.742,322,918,1240,541,213,121,456,547,2648,Colgate
0,Team,38.0,7625.0,1157,2418,.478,879,1515,.580,278,903,.308,551,803,.686,495,1072,1567,606,346,257,488,595,3143,Duke
0,Team,35.0,7100.0,921,1939,.475,652,1267,.515,269,672,.400,509,702,.725,323,832,1155,486,261,132,477,578,2620,Fairleigh Dickinson
0,Team,36.0,7275.0,857,2015,.425,566,1143,.495,291,872,.334,435,603,.721,375,826,1201,437,257,131,420,614,2440,Florida
0,Team,37.0,7500.0,960,2171,.442,688,1352,.509,272,819,.332,579,778,.744,418,973,1391,475,266,161,492,705,2771,Florida State
0,Team,35.0,7150.0,955,1962,.487,674,1243,.542,281,719,.391,527,741,.711,271,919,1190,502,238,101,407,561,2718,Gardner-Webb
0,Team,34.0,6800.0,903,1968,.459,573,1109,.517,330,859,.384,462,694,.666,273,837,1110,415,269,158,391,583,2598,Georgia State
0,Team,37.0,7400.0,1177,2239,.526,890,1449,.614,287,790,.363,602,791,.761,354,1089,1443,668,278,204,394,603,3243,Gonzaga
0,Team,37.0,7400.0,982,2203,.446,649,1264,.513,333,939,.355,490,697,.703,448,1054,1502,548,240,161,410,705,2787,Houston
0,Team,33.0,6600.0,857,1897,.452,560,1052,.532,297,845,.351,521,699,.745,283,869,1152,432,223,90,406,564,2532,Iona
0,Team,35.0,7075.0,914,2006,.456,629,1224,.514,285,782,.364,627,849,.739,357,889,1246,542,211,112,427,565,2740,Iowa
0,Team,35.0,7000.0,974,2047,.476,680,1236,.550,294,811,.363,450,615,.732,327,903,1230,527,247,160,379,517,2692,Iowa State
0,Team,36.0,7275.0,989,2128,.465,729,1385,.526,260,743,.350,487,691,.705,374,1002,1376,478,243,139,472,610,2725,Kansas
0,Team,34.0,6800.0,806,1878,.429,565,1157,.488,241,721,.334,383,574,.667,325,812,1137,464,256,76,385,550,2236,Kansas State
0,Team,37.0,7450.0,978,2050,.477,763,1443,.529,215,607,.354,635,859,.739,427,1001,1428,501,220,176,466,600,2806,Kentucky
0,Team,36.0,7200.0,963,1977,.487,641,1104,.581,322,873,.369,406,524,.775,270,904,1174,532,223,96,395,543,2654,Liberty
0,Team,34.0,6900.0,854,1967,.434,560,1107,.506,294,860,.342,534,687,.777,345,952,1297,458,149,99,412,591,2536,Louisville
0,Team,35.0,7175.0,988,2162,.457,752,1422,.529,236,740,.319,603,802,.752,460,895,1355,452,308,148,452,634,2815,LSU
0,Team,34.0,6875.0,893,1969,.454,574,1147,.500,319,822,.388,524,692,.757,331,961,1292,456,168,145,467,635,2629,Marquette
0,Team,34.0,6800.0,858,1909,.449,611,1202,.508,247,707,.349,466,627,.743,378,958,1336,447,148,163,437,526,2429,Maryland
0,Team,37.0,7400.0,941,2102,.448,654,1263,.518,287,839,.342,406,579,.701,299,1008,1307,512,225,149,334,514,2575,Michigan
0,Team,39.0,7850.0,1071,2230,.480,752,1386,.543,319,844,.378,564,749,.753,414,1165,1579,715,201,205,493,647,3025,Michigan State
0,Team,36.0,7225.0,887,2039,.435,696,1436,.485,191,603,.317,578,848,.682,402,912,1314,523,175,140,418,578,2543,Minnesota
0,Team,33.0,6625.0,876,1906,.460,604,1146,.527,272,760,.358,461,589,.783,322,806,1128,475,235,118,416,603,2485,Mississippi
0,Team,34.0,6850.0,936,1982,.472,644,1208,.533,292,774,.377,464,647,.717,393,822,1215,481,274,172,451,586,2628,Mississippi State
